date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-12-04,3481,57068179,814211964,14.25,14.35,14.1,14.35,0.15,11596
2025-12-03,3481,67562686,953106687,14.05,14.25,13.9,14.2,0.2,13383
2025-12-02,3481,72212056,1001923398,13.75,14.0,13.55,14.0,0.4,12368
2025-12-01,3481,48391046,659597035,13.5,13.8,13.5,13.6,0.05,8356
2025-11-28,3481,75093899,1030770690,13.6,13.95,13.5,13.55,0.0,14510
2025-11-27,3481,56772196,751795208,13.0,13.55,12.75,13.55,0.6,10919
2025-11-26,3481,56491940,726101414,12.5,13.1,12.5,12.95,0.55,17720
2025-11-25,3481,24020272,298259044,12.3,12.5,12.25,12.4,0.1,5146
2025-11-24,3481,53313146,653442603,12.2,12.35,12.1,12.3,0.2,6586
2025-11-21,3481,43109406,528064397,12.2,12.55,12.1,12.1,-0.35,9460
2025-11-20,3481,32678531,406589511,12.5,12.55,12.3,12.45,0.1,6248
2025-11-19,3481,32768364,406587436,12.45,12.6,12.3,12.35,0.0,7664
2025-11-18,3481,56074434,700951664,12.8,12.8,12.35,12.35,-0.6,14130
2025-11-17,3481,34139826,441648708,13.0,13.1,12.85,12.95,0.0,6640
2025-11-14,3481,32117556,419729414,13.2,13.3,12.9,12.95,-0.35,11133
2025-11-13,3481,31863479,421148252,13.25,13.35,13.1,13.3,0.05,7518
2025-11-12,3481,31756159,417702098,13.0,13.25,12.95,13.25,0.35,7294
2025-11-11,3481,64029018,835847677,13.35,13.4,12.9,12.9,-0.45,17276
2025-11-10,3481,53103727,714021460,13.85,13.85,13.3,13.35,-0.5,11428
2025-11-07,3481,36116584,501861048,13.9,14.05,13.8,13.85,-0.1,6552
2025-11-06,3481,39251291,542439426,13.75,13.95,13.6,13.95,0.2,7931
2025-11-05,3481,55373603,750327807,13.4,13.75,13.15,13.75,0.3,10540
2025-11-04,3481,41574758,565642385,13.6,13.85,13.45,13.45,-0.05,8059
2025-11-03,3481,51207414,697365135,13.4,13.9,13.4,13.5,0.2,10592
2025-10-31,3481,50035609,670746790,13.7,13.75,13.3,13.3,-0.35,12680
2025-10-30,3481,39075283,535392702,13.85,14.0,13.55,13.65,-0.1,10092
2025-10-29,3481,43617867,603037199,13.8,14.0,13.75,13.75,0.0,8468
2025-10-28,3481,41681997,575180574,14.0,14.05,13.75,13.75,-0.25,11084
2025-10-27,3481,47438533,664505086,14.15,14.25,13.9,14.0,0.1,9660
2025-10-23,3481,32133417,448437807,14.0,14.1,13.8,13.9,-0.15,7049
2025-10-22,3481,42060944,589264141,13.85,14.1,13.85,14.05,0.25,8503
2025-10-21,3481,128233612,1785588389,14.3,14.3,13.8,13.8,-0.55,29098
2025-10-20,3481,51907743,743864520,14.6,14.6,14.2,14.35,-0.15,12938
2025-10-17,3481,40040634,583131206,14.65,14.8,14.45,14.5,-0.05,7952
2025-10-16,3481,55496907,807075480,14.75,14.8,14.4,14.55,-0.05,12226
2025-10-15,3481,124170252,1805217466,14.7,14.7,14.35,14.6,-0.1,16323
2025-10-14,3481,120650787,1809946286,15.45,15.6,14.65,14.7,-0.55,23059
2025-10-13,3481,81589583,1232845505,15.0,15.3,14.8,15.25,-0.25,17763
2025-10-09,3481,127333765,1985830173,15.45,15.8,15.3,15.5,0.25,26747
2025-10-08,3481,72753773,1100486378,15.05,15.25,14.95,15.25,0.15,15174
2025-10-07,3481,88551588,1326301875,14.75,15.1,14.65,15.1,0.45,19157
2025-10-03,3481,56273205,821227011,14.6,14.8,14.35,14.65,0.05,11690
2025-10-02,3481,100138385,1484809972,15.1,15.25,14.55,14.6,-0.2,20089
2025-10-01,3481,120109585,1783032761,14.45,15.2,14.4,14.8,0.4,21422
2025-09-30,3481,70927738,1023967130,14.6,14.65,14.25,14.4,0.0,16021
2025-09-26,3481,125564557,1803410453,14.65,14.7,14.1,14.4,-0.4,24276
2025-09-25,3481,383141474,5801216683,14.25,15.6,14.25,14.8,0.6,61606
2025-09-24,3481,48762109,686321666,14.15,14.2,13.9,14.2,0.05,9606
2025-09-23,3481,73768800,1037399953,14.1,14.25,13.85,14.15,0.1,15398
2025-09-22,3481,68036000,959362269,14.1,14.35,13.9,14.05,0.1,12899
2025-09-19,3481,63825919,888117198,13.9,14.05,13.75,13.95,0.15,10083
2025-09-18,3481,59215263,819930446,13.9,14.0,13.7,13.8,0.0,10395
2025-09-17,3481,102248363,1413813537,13.4,14.05,13.4,13.8,0.4,19099
2025-09-16,3481,50966525,680561764,13.5,13.55,13.2,13.4,-0.05,8555
2025-09-15,3481,33392776,452989089,13.8,13.8,13.45,13.45,-0.2,6915
2025-09-12,3481,47681278,644574516,13.35,13.65,13.35,13.65,0.4,9357
2025-09-11,3481,56113551,748625082,13.55,13.6,13.15,13.25,-0.3,12863
2025-09-10,3481,45804704,622354747,13.75,13.75,13.5,13.55,-0.2,10022
2025-09-09,3481,30105690,413467458,13.85,13.9,13.65,13.75,0.0,7734
2025-09-08,3481,52598171,724178120,13.6,13.9,13.6,13.75,0.25,9815
2025-09-05,3481,35874636,484053246,13.7,13.7,13.35,13.5,0.0,7157
